"Category","SourcePath","CopiedPath","Bytes","LastWriteTime","Lines","HeaderOrFirstLine","Note"
"07_Source_Code","V1B\VolState_Fader_V1B.cs","07_Source_Code\V1B\VolState_Fader_V1B.cs","27474","2026-04-30 14:02:46",,"","V1B strategy/source files including footprint logic."
"07_Source_Code","V3C\NT files\ADXX_V3C.cs","07_Source_Code\V3C\NT files\ADXX_V3C.cs","29648","2026-05-01 17:49:23",,"","V3C HUD and strategy source."
"07_Source_Code","V3C\NT files\Momo_V3C.cs","07_Source_Code\V3C\NT files\Momo_V3C.cs","32516","2026-05-01 17:49:35",,"","V3C HUD and strategy source."
"07_Source_Code","V3C\NT files\MomoV3C.cs","07_Source_Code\V3C\NT files\MomoV3C.cs","4617","2026-05-01 17:50:16",,"","V3C HUD and strategy source."
"07_Source_Code","V3C\NT files\Pine_V3C.cs","07_Source_Code\V3C\NT files\Pine_V3C.cs","26073","2026-05-01 17:49:26",,"","V3C HUD and strategy source."
"07_Source_Code","V3C\NT files\RegimeMatrixHUD_V3C.cs","07_Source_Code\V3C\NT files\RegimeMatrixHUD_V3C.cs","21489","2026-05-01 17:49:20",,"","V3C HUD and strategy source."
"07_Source_Code","V3C\Scripts\BuildV3CModelFeed.py","07_Source_Code\V3C\Scripts\BuildV3CModelFeed.py","18020","2026-04-27 12:47:04",,"","V3C Python pipeline source."
"07_Source_Code","V3C\Scripts\RegimeMatrixSupervisor.py","07_Source_Code\V3C\Scripts\RegimeMatrixSupervisor.py","41000","2026-05-01 17:49:53",,"","V3C Python pipeline source."
"07_Source_Code","V3C\Scripts\V3C_Daily_Regime_Report.py","07_Source_Code\V3C\Scripts\V3C_Daily_Regime_Report.py","9666","2026-04-27 15:43:09",,"","V3C Python pipeline source."
"07_Source_Code","V3C\Scripts\V3C_ModelFeed_Watchdog.py","07_Source_Code\V3C\Scripts\V3C_ModelFeed_Watchdog.py","2287","2026-04-27 12:47:15",,"","V3C Python pipeline source."
"07_Source_Code","V3D\NinjaTrader\ADX_DI_V3D.cs","07_Source_Code\V3D\NinjaTrader\ADX_DI_V3D.cs","23604","2026-05-01 17:17:26",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\Expansion_V3D.cs","07_Source_Code\V3D\NinjaTrader\Expansion_V3D.cs","31267","2026-05-01 17:17:39",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\Expansion_V3D_B.cs","07_Source_Code\V3D\NinjaTrader\Expansion_V3D_B.cs","28801","2026-05-01 17:17:26",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\Fader_V3D.cs","07_Source_Code\V3D\NinjaTrader\Fader_V3D.cs","30957","2026-05-01 17:23:12",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\Fader_V3D_B.cs","07_Source_Code\V3D\NinjaTrader\Fader_V3D_B.cs","29236","2026-05-01 17:23:12",,"","V3D HUD and strategy source."
